Regions Code,Regions,Economic activity status (4 categories) Code,Economic activity status (4 categories),Length of residence in the UK (6 categories) Code,Length of residence in the UK (6 categories),Observation
E12000001,North East,-8,Does not apply,-8,Does not apply,0
E12000001,North East,-8,Does not apply,1,Born in the UK,450899
E12000001,North East,-8,Does not apply,2,10 years or more,2119
E12000001,North East,-8,Does not apply,3,"5 years or more, but less than 10 years",4942
E12000001,North East,-8,Does not apply,4,"2 years or more, but less than 5 years",5611
E12000001,North East,-8,Does not apply,5,Less than 2 years,4482
E12000001,North East,1,Economically active: In employment (including full-time students),-8,Does not apply,0
E12000001,North East,1,Economically active: In employment (including full-time students),1,Born in the UK,1048049
E12000001,North East,1,Economically active: In employment (including full-time students),2,10 years or more,56116
E12000001,North East,1,Economically active: In employment (including full-time students),3,"5 years or more, but less than 10 years",14691
E12000001,North East,1,Economically active: In employment (including full-time students),4,"2 years or more, but less than 5 years",10650
E12000001,North East,1,Economically active: In employment (including full-time students),5,Less than 2 years,8550
E12000001,North East,2,Economically active: Unemployed (including full-time students),-8,Does not apply,0
E12000001,North East,2,Economically active: Unemployed (including full-time students),1,Born in the UK,70395
E12000001,North East,2,Economically active: Unemployed (including full-time students),2,10 years or more,3773
E12000001,North East,2,Economically active: Unemployed (including full-time students),3,"5 years or more, but less than 10 years",1583
E12000001,North East,2,Economically active: Unemployed (including full-time students),4,"2 years or more, but less than 5 years",1478
E12000001,North East,2,Economically active: Unemployed (including full-time students),5,Less than 2 years,3112
E12000001,North East,3,Economically inactive,-8,Does not apply,0
E12000001,North East,3,Economically inactive,1,Born in the UK,898527
E12000001,North East,3,Economically inactive,2,10 years or more,33238
E12000001,North East,3,Economically inactive,3,"5 years or more, but less than 10 years",7551
E12000001,North East,3,Economically inactive,4,"2 years or more, but less than 5 years",8229
E12000001,North East,3,Economically inactive,5,Less than 2 years,13018
E12000002,North West,-8,Does not apply,-8,Does not apply,0
E12000002,North West,-8,Does not apply,1,Born in the UK,1305325
E12000002,North West,-8,Does not apply,2,10 years or more,9271
E12000002,North West,-8,Does not apply,3,"5 years or more, but less than 10 years",25795
E12000002,North West,-8,Does not apply,4,"2 years or more, but less than 5 years",28141
E12000002,North West,-8,Does not apply,5,Less than 2 years,23230
E12000002,North West,1,Economically active: In employment (including full-time students),-8,Does not apply,0
E12000002,North West,1,Economically active: In employment (including full-time students),1,Born in the UK,2893831
E12000002,North West,1,Economically active: In employment (including full-time students),2,10 years or more,262289
E12000002,North West,1,Economically active: In employment (including full-time students),3,"5 years or more, but less than 10 years",85040
E12000002,North West,1,Economically active: In employment (including full-time students),4,"2 years or more, but less than 5 years",59264
E12000002,North West,1,Economically active: In employment (including full-time students),5,Less than 2 years,41321
E12000002,North West,2,Economically active: Unemployed (including full-time students),-8,Does not apply,0
E12000002,North West,2,Economically active: Unemployed (including full-time students),1,Born in the UK,165230
E12000002,North West,2,Economically active: Unemployed (including full-time students),2,10 years or more,16562
E12000002,North West,2,Economically active: Unemployed (including full-time students),3,"5 years or more, but less than 10 years",7561
E12000002,North West,2,Economically active: Unemployed (including full-time students),4,"2 years or more, but less than 5 years",6586
E12000002,North West,2,Economically active: Unemployed (including full-time students),5,Less than 2 years,9563
E12000002,North West,3,Economically inactive,-8,Does not apply,0
E12000002,North West,3,Economically inactive,1,Born in the UK,2187607
E12000002,North West,3,Economically inactive,2,10 years or more,174595
E12000002,North West,3,Economically inactive,3,"5 years or more, but less than 10 years",37997
E12000002,North West,3,Economically inactive,4,"2 years or more, but less than 5 years",34789
E12000002,North West,3,Economically inactive,5,Less than 2 years,43400
E12000003,Yorkshire and The Humber,-8,Does not apply,-8,Does not apply,0
E12000003,Yorkshire and The Humber,-8,Does not apply,1,Born in the UK,967149
E12000003,Yorkshire and The Humber,-8,Does not apply,2,10 years or more,7150
E12000003,Yorkshire and The Humber,-8,Does not apply,3,"5 years or more, but less than 10 years",16954
E12000003,Yorkshire and The Humber,-8,Does not apply,4,"2 years or more, but less than 5 years",16448
E12000003,Yorkshire and The Humber,-8,Does not apply,5,Less than 2 years,12774
E12000003,Yorkshire and The Humber,1,Economically active: In employment (including full-time students),-8,Does not apply,0
E12000003,Yorkshire and The Humber,1,Economically active: In employment (including full-time students),1,Born in the UK,2133152
E12000003,Yorkshire and The Humber,1,Economically active: In employment (including full-time students),2,10 years or more,198636
E12000003,Yorkshire and The Humber,1,Economically active: In employment (including full-time students),3,"5 years or more, but less than 10 years",62259
E12000003,Yorkshire and The Humber,1,Economically active: In employment (including full-time students),4,"2 years or more, but less than 5 years",40550
E12000003,Yorkshire and The Humber,1,Economically active: In employment (including full-time students),5,Less than 2 years,26771
E12000003,Yorkshire and The Humber,2,Economically active: Unemployed (including full-time students),-8,Does not apply,0
E12000003,Yorkshire and The Humber,2,Economically active: Unemployed (including full-time students),1,Born in the UK,123391
E12000003,Yorkshire and The Humber,2,Economically active: Unemployed (including full-time students),2,10 years or more,12676
E12000003,Yorkshire and The Humber,2,Economically active: Unemployed (including full-time students),3,"5 years or more, but less than 10 years",5069
E12000003,Yorkshire and The Humber,2,Economically active: Unemployed (including full-time students),4,"2 years or more, but less than 5 years",4064
E12000003,Yorkshire and The Humber,2,Economically active: Unemployed (including full-time students),5,Less than 2 years,6180
E12000003,Yorkshire and The Humber,3,Economically inactive,-8,Does not apply,0
E12000003,Yorkshire and The Humber,3,Economically inactive,1,Born in the UK,1634822
E12000003,Yorkshire and The Humber,3,Economically inactive,2,10 years or more,133518
E12000003,Yorkshire and The Humber,3,Economically inactive,3,"5 years or more, but less than 10 years",26075
E12000003,Yorkshire and The Humber,3,Economically inactive,4,"2 years or more, but less than 5 years",22049
E12000003,Yorkshire and The Humber,3,Economically inactive,5,Less than 2 years,31087
E12000004,East Midlands,-8,Does not apply,-8,Does not apply,0
E12000004,East Midlands,-8,Does not apply,1,Born in the UK,828072
E12000004,East Midlands,-8,Does not apply,2,10 years or more,6914
E12000004,East Midlands,-8,Does not apply,3,"5 years or more, but less than 10 years",17588
E12000004,East Midlands,-8,Does not apply,4,"2 years or more, but less than 5 years",16657
E12000004,East Midlands,-8,Does not apply,5,Less than 2 years,12778
E12000004,East Midlands,1,Economically active: In employment (including full-time students),-8,Does not apply,0
E12000004,East Midlands,1,Economically active: In employment (including full-time students),1,Born in the UK,1880264
E12000004,East Midlands,1,Economically active: In employment (including full-time students),2,10 years or more,226067
E12000004,East Midlands,1,Economically active: In employment (including full-time students),3,"5 years or more, but less than 10 years",80901
E12000004,East Midlands,1,Economically active: In employment (including full-time students),4,"2 years or more, but less than 5 years",52314
E12000004,East Midlands,1,Economically active: In employment (including full-time students),5,Less than 2 years,32778
E12000004,East Midlands,2,Economically active: Unemployed (including full-time students),-8,Does not apply,0
E12000004,East Midlands,2,Economically active: Unemployed (including full-time students),1,Born in the UK,96660
E12000004,East Midlands,2,Economically active: Unemployed (including full-time students),2,10 years or more,11534
E12000004,East Midlands,2,Economically active: Unemployed (including full-time students),3,"5 years or more, but less than 10 years",4508
E12000004,East Midlands,2,Economically active: Unemployed (including full-time students),4,"2 years or more, but less than 5 years",3402
E12000004,East Midlands,2,Economically active: Unemployed (including full-time students),5,Less than 2 years,5451
E12000004,East Midlands,3,Economically inactive,-8,Does not apply,0
E12000004,East Midlands,3,Economically inactive,1,Born in the UK,1405678
E12000004,East Midlands,3,Economically inactive,2,10 years or more,130335
E12000004,East Midlands,3,Economically inactive,3,"5 years or more, but less than 10 years",24508
E12000004,East Midlands,3,Economically inactive,4,"2 years or more, but less than 5 years",19110
E12000004,East Midlands,3,Economically inactive,5,Less than 2 years,24535
E12000005,West Midlands,-8,Does not apply,-8,Does not apply,0
E12000005,West Midlands,-8,Does not apply,1,Born in the UK,1072614
E12000005,West Midlands,-8,Does not apply,2,10 years or more,8546
E12000005,West Midlands,-8,Does not apply,3,"5 years or more, but less than 10 years",24241
E12000005,West Midlands,-8,Does not apply,4,"2 years or more, but less than 5 years",25713
E12000005,West Midlands,-8,Does not apply,5,Less than 2 years,18314
E12000005,West Midlands,1,Economically active: In employment (including full-time students),-8,Does not apply,0
E12000005,West Midlands,1,Economically active: In employment (including full-time students),1,Born in the UK,2175241
