code,areaName,ukBorn,nonUkBorn,totPopulation,POI,year
E12000006,East,5204750,642215,5846965,10.98,2011
E12000004,East Midlands,4085011,448211,4533222,9.89,2011
E12000007,London,5175677,2998264,8173941,36.68,2011
E12000001,North East,2468313,128573,2596886,4.95,2011
E12000002,North West,6474945,577232,7052177,8.19,2011
E12000008,South East,7591430,1043320,8634750,12.08,2011
E12000009,South West,4884275,404660,5288935,7.65,2011
W92000004,Wales,2895585,167871,3063456,5.48,2011
E12000005,West Midlands,4971874,629973,5601847,11.25,2011
E12000003,Yorkshire and The Humber,4819042,464691,5283733,8.79,2011
